"ar_id","ac_id1","ac_id2","rel_type","rel_intent","annotator","timestamp"
"1","2","3","elaboration: addition","support","andres.segura","2023-03-28 21:40:08"
"2","5","6","elaboration: addition","support","andres.segura","2023-03-28 21:40:08"
"3","5","7","consequence: result","support","andres.segura","2023-03-28 21:40:08"
"4","8","9","contrast: alternative","attack","andres.segura","2023-03-28 21:40:08"
"5","11","12","consequence: explanation","support","andres.segura","2023-03-28 21:40:08"
"6","13","14","contrast: opposition","attack","andres.segura","2023-03-28 21:40:08"
"7","15","16","contrast: alternative","support","andres.segura","2023-03-28 21:40:08"
"8","17","19","contrast: opposition","attack","andres.segura","2023-03-28 21:40:08"
"9","22","23","clarification: restatement","support","andres.segura","2023-03-28 21:40:08"
"10","24","25","elaboration: addition","support","andres.segura","2023-03-28 21:40:08"
"11","26","27","cause: reason","support","andres.segura","2023-03-28 21:40:08"
"12","28","29","contrast: alternative","support","andres.segura","2023-03-28 21:40:08"
"13","31","32","contrast: concession","attack","andres.segura","2023-03-28 21:40:08"
"14","31","33","contrast: opposition","attack","andres.segura","2023-03-28 21:40:08"
"15","35","36","elaboration: similarity","support","andres.segura","2023-03-28 21:40:08"
"16","35","37","contrast: opposition","attack","andres.segura","2023-03-28 21:40:08"
"17","35","38","elaboration: addition","support","andres.segura","2023-03-28 21:40:08"
"18","40","41","elaboration: addition","support","andres.segura","2023-03-28 21:40:08"
"19","43","44","elaboration: addition","support","andres.segura","2023-03-28 21:40:08"
