"ac_id","ac_text","ac_type","annotator","timestamp"
"1","Contratar personal de limpieza","major claim","andres.segura","2023-03-23 21:06:19"
"2","Contratar personal de limpieza en lugar de pedir a universitarios o madres de niños escolarizados limpiar.","major claim","andres.segura","2023-03-23 21:06:19"
"3","Mi propuesta es, en lugar de promover que estudiantes o mujeres trabajadoras hagan ese trabajo, ¿por qué no se contrata a más personal de limpieza?","major claim","andres.segura","2023-03-23 21:06:19"
"4","De esta forma se podría reducir el paro de la capital, a la vez que no se quita tiempo de estudio a los universitarios o tiempo libre a las mujeres.","premise","andres.segura","2023-03-23 21:06:19"
"5","Este sitio no es el lugar creo yo.","claim","andres.segura","2023-03-23 21:06:19"
"6","Pero ya que te poner, haz un esfuerzo por contrastar esa noticia que sé dónde la has leído.","premise","andres.segura","2023-03-23 21:06:19"
"7","Es una medida que me parece injusta, puesto que la mayoría no ha podido votar la composición del Ayuntamiento de Madrid, las universidades son competencia de la Comunidad de Madrid y, por tanto, la alcaldesa no tiene legitimidad para hacerles limpiar las calles.","claim","andres.segura","2023-03-23 21:06:19"
"8","No has entendido o no quieres entender.","claim","andres.segura","2023-03-23 21:06:19"
"9","No se trata de obligarles a limpiar por supuesto, pero si a concienciar a todos los que ensucian de forma innecesaria su entorno lo que no deben hacer y no rasgarnos las vestiduras por ello.","premise","andres.segura","2023-03-23 21:06:19"
"10","Perdona pero no has entendido nada,","claim","andres.segura","2023-03-23 21:06:19"
"11","lo de las madres era una propuesta por mi parte muy interesante ya que si dichas madres están en el paro y pueden tener un trabajo además en el colegio donde va su hijo pues mucho mejor y lo de los jovenes estudiantes también es lógico que al que ensucie se le enseñe a dejar de hacerlo, no para no tener que contratar a personas que limpien si no para evitar el que convirtamos a nuestros hijos en unos guarros.","premise","andres.segura","2023-03-23 21:06:19"
"12","En primer lugar, los empleos públicos no se deberían ofrecer en función de en qué colectivo te encuentres, sino a todos los ciudadanos por igual.","claim","andres.segura","2023-03-23 21:06:19"
"13","En segundo lugar, muéstrame una encuesta que diga que sólo los universitarios ensucian la calle.","claim","andres.segura","2023-03-23 21:06:19"
"14","En tercer lugar, para evitar que la gente ensucie ya están las multas o pueden limpiar ellos,","claim","andres.segura","2023-03-23 21:06:19"
"15","pero no hay que generalizar con todo el colectivo universitario.","premise","andres.segura","2023-03-23 21:06:19"
